state,district,level,name,type,total_population,total_population_males,total_population_females,population_06,population_literate,population_illiterate,total_workers,total_workers_males,total_workers_females,non_workers
9,190,district,deoria,total,3100946,1537436,1563510,464516,1875239,1225707,876246,639073,237173,2224700
9,190,district,deoria,rural,2784143,1373111,1411032,423581,1654427,1129716,793580,568326,225254,1990563
9,190,district,deoria,urban,316803,164325,152478,40935,220812,95991,82666,70747,11919,234137
23,437,district,dewas,total,1563715,805359,758356,229339,925369,638346,742676,451501,291175,821039
23,437,district,dewas,rural,1111956,571720,540236,171150,604294,507662,587009,329631,257378,524947
23,437,district,dewas,urban,451759,233639,218120,58189,321075,130684,155667,121870,33797,296092
16,291,district,dhalai,total,378230,194544,183686,56011,276217,102013,155831,105657,50174,222399
16,291,district,dhalai,rural,337731,173773,163958,51571,241818,95913,141614,93933,47681,196117
16,291,district,dhalai,urban,40499,20771,19728,4440,34399,6100,14217,11724,2493,26282
22,412,district,dhamtari,total,799781,397897,401884,101909,546833,252948,402895,226382,176513,396886
22,412,district,dhamtari,rural,650586,323420,327166,84459,435825,214761,342553,185441,157112,308033
22,412,district,dhamtari,urban,149195,74477,74718,17450,111008,38187,60342,40941,19401,88853
20,354,district,dhanbad,total,2684487,1405956,1278531,373394,1722204,962283,844504,658851,185653,1839983
20,354,district,dhanbad,rural,1124093,581956,542137,171670,649255,474838,411215,285329,125886,712878
20,354,district,dhanbad,urban,1560394,824000,736394,201724,1072949,487445,433289,373522,59767,1127105
23,438,district,dhar,total,2185793,1112725,1073068,359949,1077338,1108455,1027974,597079,430895,1157819
23,438,district,dhar,rural,1772572,895113,877459,300042,796473,976099,878275,479585,398690,894297
23,438,district,dhar,urban,413221,217612,195609,59907,280865,132356,149699,117494,32205,263522
33,630,district,dharmapuri,total,1506843,774303,732540,167940,917709,589134,751170,446057,305113,755673
33,630,district,dharmapuri,rural,1245931,643215,602716,140903,727785,518146,646077,373109,272968,599854
33,630,district,dharmapuri,urban,260912,131088,129824,27037,189924,70988,105093,72948,32145,155819
29,562,district,dharwad,total,1847023,937206,909817,219942,1301664,545359,784833,543776,241057,1062190
29,562,district,dharwad,rural,797484,409416,388068,101160,501954,295530,407220,250619,156601,390264
29,562,district,dharwad,urban,1049539,527790,521749,118782,799710,249829,377613,293157,84456,671926
8,106,district,dhaulpur,total,1206516,653647,552869,217613,683098,523418,523212,339110,184102,683304
8,106,district,dhaulpur,rural,959066,520930,438136,179725,530706,428360,449350,277575,171775,509716
8,106,district,dhaulpur,urban,247450,132717,114733,37888,152392,95058,73862,61535,12327,173588
18,308,district,dhemaji,total,686133,351249,334884,104247,423028,263105,316800,186577,130223,369333
18,308,district,dhemaji,rural,637848,326278,311570,98352,387412,250436,300729,173704,127025,337119
18,308,district,dhemaji,urban,48285,24971,23314,5895,35616,12669,16071,12873,3198,32214
21,383,district,dhenkanal,total,1192811,612593,580218,139096,829910,362901,435533,340552,94981,757278
21,383,district,dhenkanal,rural,1075305,551326,523979,127334,735523,339782,398386,308837,89549,676919
21,383,district,dhenkanal,urban,117506,61267,56239,11762,94387,23119,37147,31715,5432,80359
18,301,district,dhubri,total,1949258,997848,951410,368262,922341,1026917,669819,524898,144921,1279439
18,301,district,dhubri,rural,1745557,893914,851643,345279,773646,971911,599463,466138,133325,1146094
18,301,district,dhubri,urban,203701,103934,99767,22983,148695,55006,70356,58760,11596,133345
27,498,district,dhule,total,2050862,1054031,996831,273507,1293916,756946,936370,570448,365922,1114492
27,498,district,dhule,rural,1479826,758916,720910,206036,857440,622386,758086,425469,332617,721740
27,498,district,dhule,urban,571036,295115,275921,67471,436476,134560,178284,144979,33305,392752
12,257,district,dibangvalley,total,8004,4414,3590,1084,4436,3568,3555,2228,1327,4449
12,257,district,dibangvalley,rural,5620,3098,2522,775,2692,2928,2640,1616,1024,2980
12,257,district,dibangvalley,urban,2384,1316,1068,309,1744,640,915,612,303,1469
18,310,district,dibrugarh,total,1326335,676434,649901,163210,884531,441804,560557,368013,192544,765778
18,310,district,dibrugarh,rural,1082605,550299,532306,140283,685573,397032,470496,295616,174880,612109
18,310,district,dibrugarh,urban,243730,126135,117595,22927,198958,44772,90061,72397,17664,153669
18,315,district,dimahasao,total,214102,110802,103300,32414,140873,73229,85028,56323,28705,129074
18,315,district,dimahasao,rural,151613,77817,73796,25067,90009,61604,62740,39126,23614,88873
18,315,district,dimahasao,urban,62489,32985,29504,7347,50864,11625,22288,17197,5091,40201
13,265,district,dimapur,total,378811,197394,181417,50898,278037,100774,151350,99645,51705,227461
13,265,district,dimapur,rural,180942,93435,87507,26063,126822,54120,76858,45699,31159,104084
13,265,district,dimapur,urban,197869,103959,93910,24835,151215,46654,74492,53946,20546,123377
33,612,district,dindigul,total,2159775,1080938,1078837,216576,1481834,677941,1105155,665469,439686,1054620
33,612,district,dindigul,rural,1351735,678605,673130,137539,870271,481464,762193,427632,334561,589542
33,612,district,dindigul,urban,808040,402333,405707,79037,611563,196477,342962,237837,105125,465078
23,453,district,dindori,total,704524,351913,352611,111820,378714,325810,389925,203383,186542,314599
23,453,district,dindori,rural,672206,335393,336813,107702,354842,317364,377973,194635,183338,294233
23,453,district,dindori,urban,32318,16520,15798,4118,23872,8446,11952,8748,3204,20366
25,494,district,diu,total,52074,25642,26432,6476,38058,14016,15750,12932,2818,36324
25,494,district,diu,rural,28083,14028,14055,4019,18196,9887,8524,6916,1608,19559
25,494,district,diu,urban,23991,11614,12377,2457,19862,4129,7226,6016,1210,16765
1,16,district,doda,total,409936,213641,196295,71240,219083,190853,151912,101144,50768,258024
1,16,district,doda,rural,377247,195430,181817,67207,194550,182697,141565,92477,49088,235682
1,16,district,doda,urban,32689,18211,14478,4033,24533,8156,10347,8667,1680,22342
24,485,district,dohad,total,2127086,1068651,1058435,414798,1007171,1119915,999124,540881,458243,1127962
24,485,district,dohad,rural,1935461,970963,964498,387164,872552,1062909,934346,491602,442744,1001115
24,485,district,dohad,urban,191625,97688,93937,27634,134619,57006,64778,49279,15499,126847
20,362,district,dumka,total,1321442,668514,652928,219449,672409,649033,624779,367108,257671,696663
20,362,district,dumka,rural,1231264,620928,610336,207804,606660,624604,597372,344707,252665,633892
20,362,district,dumka,urban,90178,47586,42592,11645,65749,24429,27407,22401,5006,62771
8,124,district,dungarpur,total,1388552,696532,692020,242239,681591,706961,641515,346624,294891,747037
8,124,district,dungarpur,rural,1299809,651046,648763,231406,615851,683958,611752,323827,287925,688057
8,124,district,dungarpur,urban,88743,45486,43257,10833,65740,23003,29763,22797,6966,58980
22,409,district,durg,total,3343872,1682101,1661771,430536,2303378,1040494,1496805,921729,575076,1847067
22,409,district,durg,rural,2059107,1026152,1032955,282829,1330153,728954,1050508,573976,476532,1008599
22,409,district,durg,urban,1284765,655949,628816,147707,973225,311540,446297,347753,98544,838468
7,93,district,east,total,1709346,907500,801846,194357,1352998,356348,579692,486951,92741,1129654
7,93,district,east,rural,3530,1861,1669,374,2986,544,1348,1062,286,2182
7,93,district,east,urban,1705816,905639,800177,193983,1350012,355804,578344,485889,92455,1127472
11,244,district,eastdistrict,total,283583,151432,132151,27984,214329,69254,139678,92351,47327,143905
11,244,district,eastdistrict,rural,161096,87147,73949,16223,115891,45205,86948,54524,32424,74148
11,244,district,eastdistrict,urban,122487,64285,58202,11761,98438,24049,52730,37827,14903,69757
17,294,district,eastgarohills,total,317917,161223,156694,58071,192147,125770,126073,72262,53811,191844
17,294,district,eastgarohills,rural,273725,138763,134962,51865,157893,115832,112765,62737,50028,160960
17,294,district,eastgarohills,urban,44192,22460,21732,6206,34254,9938,13308,9525,3783,30884
28,545,district,eastgodavari,total,5154296,2569688,2584608,522054,3288577,1865719,2093681,1545831,547850,3060615
28,545,district,eastgodavari,rural,3840324,1922293,1918031,395078,2329761,1510563,1636455,1177641,458814,2203869
28,545,district,eastgodavari,urban,1313972,647395,666577,126976,958816,355156,457226,368190,89036,856746
12,247,district,eastkameng,total,78690,38775,39915,14626,38449,40241,31710,16424,15286,46980
12,247,district,eastkameng,rural,60340,29506,30834,11238,26914,33426,26084,12678,13406,34256
12,247,district,eastkameng,urban,18350,9269,9081,3388,11535,6815,5626,3746,1880,12724
17,298,district,eastkhasihills,total,825922,410749,415173,139055,578030,247892,326786,204303,122483,499136
17,298,district,eastkhasihills,rural,459441,228409,231032,95328,283008,176433,190926,112845,78081,268515
17,298,district,eastkhasihills,urban,366481,182340,184141,43727,295022,71459,135860,91458,44402,230621
12,251,district,eastsiang,total,99214,50116,49098,12955,62576,36638,40222,23591,16631,58992
12,251,district,eastsiang,rural,71579,36147,35432,9694,43064,28515,31417,17174,14243,40162
12,251,district,eastsiang,urban,27635,13969,13666,3261,19512,8123,8805,6417,2388,18830
32,595,district,ernakulam,total,3282388,1619557,1662831,304242,2855676,426712,1249343,913249,336094,2033045
32,595,district,ernakulam,rural,1048025,518510,529515,93614,908408,139617,417997,297463,120534,630028
32,595,district,ernakulam,urban,2234363,1101047,1133316,210628,1947268,287095,831346,615786,215560,1403017
33,610,district,erode,total,2251744,1129868,1121876,195213,1492662,759082,1195773,732083,463690,1055971
33,610,district,erode,rural,1093768,552393,541375,92254,655046,438722,635104,363773,271331,458664
33,610,district,erode,urban,1157976,577475,580501,102959,837616,320360,560669,368310,192359,597307
9,201,district,etah,total,1774480,947339,827141,284227,1055202,719278,545984,440244,105740,1228496
9,201,district,etah,rural,1506338,805589,700749,246918,877716,628622,470868,376518,94350,1035470
9,201,district,etah,urban,268142,141750,126392,37309,177486,90656,75116,63726,11390,193026
9,161,district,etawah,total,1581810,845856,735954,227470,1062003,519807,506072,413713,92359,1075738
9,161,district,etawah,rural,1215511,652740,562771,182914,798203,417308,400394,323246,77148,815117
9,161,district,etawah,urban,366299,193116,173183,44556,263800,102499,105678,90467,15211,260621
9,177,district,faizabad,total,2470996,1259628,1211368,360082,1450901,1020095,831209,597888,233321,1639787
9,177,district,faizabad,rural,2130743,1079257,1051486,321675,1209329,921414,724936,510994,213942,1405807
9,177,district,faizabad,urban,340253,180371,159882,38407,241572,98681,106273,86894,19379,233980
6,88,district,faridabad,total,1809733,966110,843623,251955,1272739,536994,579229,476933,102296,1230504
6,88,district,faridabad,rural,370878,198103,172775,60653,227022,143856,106758,87749,19009,264120
6,88,district,faridabad,urban,1438855,768007,670848,191302,1045717,393138,472471,389184,83287,966384
3,45,district,faridkot,total,617508,326671,290837,69311,381285,236223,221555,185049,36506,395953
3,45,district,faridkot,rural,400457,210782,189675,44722,229799,170658,144520,120331,24189,255937
3,45,district,faridkot,urban,217051,115889,101162,24589,151486,65565,77035,64718,12317,140016
9,159,district,farrukhabad,total,1885204,1006240,878964,302612,1092677,792527,592267,494545,97722,1292937
9,159,district,farrukhabad,rural,1469019,785301,683718,248167,827275,641744,465089,385507,79582,1003930
9,159,district,farrukhabad,urban,416185,220939,195246,54445,265402,150783,127178,109038,18140,289007
6,78,district,fatehabad,total,942011,495360,446651,121024,557578,384433,369083,263498,105585,572928
6,78,district,fatehabad,rural,762423,400814,361609,99259,434531,327892,312610,215010,97600,449813
6,78,district,fatehabad,urban,179588,94546,85042,21765,123047,56541,56473,48488,7985,123115
3,40,district,fatehgarhsahib,total,600163,320795,279368,63271,426033,174130,214783,182777,32006,385380
3,40,district,fatehgarhsahib,rural,414681,220050,194631,42785,288340,126341,148103,124711,23392,266578
3,40,district,fatehgarhsahib,urban,185482,100745,84737,20486,137693,47789,66680,58066,8614,118802
9,172,district,fatehpur,total,2632733,1384722,1248011,390089,1512166,1120567,1063929,713736,350193,1568804
9,172,district,fatehpur,rural,2310740,1215690,1095050,349925,1298742,1011998,964814,632566,332248,1345926
9,172,district,fatehpur,urban,321993,169032,152961,40164,213424,108569,99115,81170,17945,222878
9,147,district,firozabad,total,2498156,1332046,1166110,382319,1521806,976350,761521,621840,139681,1736635
9,147,district,firozabad,rural,1664987,891872,773115,265252,1016244,648743,491552,412302,79250,1173435
9,147,district,firozabad,urban,833169,440174,392995,117067,505562,327607,269969,209538,60431,563200
3,43,district,firozpur,total,2029074,1071637,957437,248103,1227511,801563,756695,596406,160289,1272379
3,43,district,firozpur,rural,1476518,776208,700310,185699,840820,635698,565851,433955,131896,910667
3,43,district,firozpur,urban,552556,295429,257127,62404,386691,165865,190844,162451,28393,361712
29,561,district,gadag,total,1064570,537147,527423,132442,700177,364393,495722,310412,185310,568848
29,561,district,gadag,rural,685261,347585,337676,87350,429673,255588,346655,204325,142330,338606
29,561,district,gadag,urban,379309,189562,189747,45092,270504,108805,149067,106087,42980,230242
27,508,district,gadchiroli,total,1072942,541328,531614,120272,708365,364577,584237,323338,260899,488705
27,508,district,gadchiroli,rural,954909,481290,473619,108521,613771,341138,540110,291600,248510,414799
27,508,district,gadchiroli,urban,118033,60038,57995,11751,94594,23439,44127,31738,12389,73906
21,389,district,gajapati,total,577817,282882,294935,86984,262537,315280,293933,155907,138026,283884
21,389,district,gajapati,rural,507151,247655,259496,79684,213160,293991,267265,136879,130386,239886
21,389,district,gajapati,urban,70666,35227,35439,7300,49377,21289,26668,19028,7640,43998
1,11,district,ganderbal,total,297446,158720,138726,50594,143276,154170,100890,73305,27585,196556
1,11,district,ganderbal,rural,250407,133715,116692,42354,117480,132927,84498,62114,22384,165909
1,11,district,ganderbal,urban,47039,25005,22034,8240,25796,21243,16392,11191,5201,30647
24,473,district,gandhinagar,total,1391753,723864,667889,167377,1030494,361259,534976,408075,126901,856777
24,473,district,gandhinagar,rural,791126,408436,382690,99763,563973,227153,326953,236396,90557,464173
24,473,district,gandhinagar,urban,600627,315428,285199,67614,466521,134106,208023,171679,36344,392604
8,99,district,ganganagar,total,1969168,1043340,925828,255475,1193343,775825,912672,596320,316352,1056496
8,99,district,ganganagar,rural,1433736,758269,675467,192461,821372,612364,727092,442402,284690,706644
8,99,district,ganganagar,urban,535432,285071,250361,63014,371971,163461,185580,153918,31662,349852
21,388,district,ganjam,total,3529031,1779218,1749813,420158,2210050,1318981,1501772,990027,511745,2027259
21,388,district,ganjam,rural,2761030,1383636,1377394,342463,1635150,1125880,1231922,779378,452544,1529108
21,388,district,ganjam,urban,768001,395582,372419,77695,574900,193101,269850,210649,59201,498151
20,346,district,garhwa,total,1322784,683575,639209,239664,653476,669308,571431,335451,235980,751353
20,346,district,garhwa,rural,1253114,646947,606167,229136,607528,645586,550479,318606,231873,702635
20,346,district,garhwa,urban,69670,36628,33042,10528,45948,23722,20952,16845,4107,48718
5,61,district,garhwal,total,687271,326829,360442,83901,494889,192382,274152,147373,126779,413119
5,61,district,garhwal,rural,574568,268029,306539,71170,404558,170010,240786,119739,121047,333782
5,61,district,garhwal,urban,112703,58800,53903,12731,90331,22372,33366,27634,5732,79337
9,141,district,gautambuddhanagar,total,1648115,890214,757901,246598,1122947,525168,569109,443384,125725,1079006
9,141,district,gautambuddhanagar,rural,673806,359605,314201,109480,421928,251878,216673,163103,53570,457133
9,141,district,gautambuddhanagar,urban,974309,530609,443700,137118,701019,273290,352436,280281,72155,621873
10,236,district,gaya,total,4391418,2266566,2124852,783059,2297613,2093805,1664062,1076170,587892,2727356
10,236,district,gaya,rural,3809817,1960592,1849225,702181,1895908,1913909,1483785,937683,546102,2326032
10,236,district,gaya,urban,581601,305974,275627,80878,401705,179896,180277,138487,41790,401324
9,140,district,ghaziabad,total,4681645,2488834,2192811,681231,3123264,1558381,1520538,1231615,288923,3161107
9,140,district,ghaziabad,rural,1519098,808222,710876,248759,922310,596788,496077,388755,107322,1023021
9,140,district,ghaziabad,urban,3162547,1680612,1481935,432472,2200954,961593,1024461,842860,181601,2138086
9,195,district,ghazipur,total,3620268,1855075,1765193,558559,2197549,1422719,1204602,808700,395902,2415666
9,195,district,ghazipur,rural,3345908,1711651,1634257,520467,2007741,1338167,1128893,746970,381923,2217015
9,195,district,ghazipur,urban,274360,143424,130936,38092,189808,84552,75709,61730,13979,198651
20,349,district,giridih,total,2445474,1258098,1187376,460251,1253475,1191999,1036277,623946,412331,1409197
20,349,district,giridih,rural,2237450,1149608,1087842,428388,1113513,1123937,976536,572635,403901,1260914
20,349,district,giridih,urban,208024,108490,99534,31863,139962,68062,59741,51311,8430,148283
30,0,state,goa,total,1458545,739140,719405,144611,1165487,293058,577248,419536,157712,881297
30,0,state,goa,rural,551731,275436,276295,54014,431271,120460,215536,152986,62550,336195
30,0,state,goa,urban,906814,463704,443110,90597,734216,172598,361712,266550,95162,545102
18,302,district,goalpara,total,1008183,513292,494891,171657,563577,444606,362573,267118,95455,645610
18,302,district,goalpara,rural,870121,443244,426877,152141,473388,396733,314099,228888,85211,556022
18,302,district,goalpara,urban,138062,70048,68014,19516,90189,47873,48474,38230,10244,89588
20,351,district,godda,total,1313551,677927,635624,241784,604519,709032,552191,344019,208172,761360
20,351,district,godda,rural,1249132,643907,605225,232349,559346,689786,534450,329001,205449,714682
20,351,district,godda,urban,64419,34020,30399,9435,45173,19246,17741,15018,2723,46678
18,313,district,golaghat,total,1066888,543161,523727,134793,721764,345124,479928,309104,170824,586960
18,313,district,golaghat,rural,969152,493125,476027,125120,640978,328174,444356,280353,164003,524796
18,313,district,golaghat,urban,97736,50036,47700,9673,80786,16950,35572,28751,6821,62164
9,183,district,gonda,total,3433919,1787146,1646773,572386,1679994,1753925,1170552,855848,314704,2263367
9,183,district,gonda,rural,3208890,1669058,1539832,543982,1529165,1679725,1104069,800410,303659,2104821
9,183,district,gonda,urban,225029,118088,106941,28404,150829,74200,66483,55438,11045,158546
27,507,district,gondiya,total,1322507,661554,660953,140365,1004243,318264,665419,383151,282268,657088
27,507,district,gondiya,rural,1096577,547934,548643,117577,818421,278156,584269,323587,260682,512308
27,507,district,gondiya,urban,225930,113620,112310,22788,185822,40108,81150,59564,21586,144780
10,217,district,gopalganj,total,2562012,1267666,1294346,449530,1382998,1179014,728201,539586,188615,1833811
10,217,district,gopalganj,rural,2399207,1184967,1214240,423789,1280064,1119143,685619,504265,181354,1713588
10,217,district,gopalganj,urban,162805,82699,80106,25741,102934,59871,42582,35321,7261,120223
9,188,district,gorakhpur,total,4440895,2277777,2163118,628442,2700328,1740567,1351629,1016876,334753,3089266
9,188,district,gorakhpur,rural,3604766,1838726,1766040,537183,2086628,1518138,1098090,812452,285638,2506676
9,188,district,gorakhpur,urban,836129,439051,397078,91259,613700,222429,253539,204424,49115,582590
24,0,state,gujarat,total,60439692,31491260,28948432,7777262,41093358,19346334,24767747,18000914,6766833,35671945
24,0,state,gujarat,rural,34694609,17799159,16895450,4824903,21420842,13273767,15570092,10171584,5398508,19124517
24,0,state,gujarat,urban,25745083,13692101,12052982,2952359,19672516,6072567,9197655,7829330,1368325,16547428
29,579,district,gulbarga,total,2566326,1301755,1264571,365372,1427368,1138958,1087028,680001,407027,1479298
29,579,district,gulbarga,rural,1730775,877144,853631,254972,857328,873447,807197,470900,336297,923578
29,579,district,gulbarga,urban,835551,424611,410940,110400,570040,265511,279831,209101,70730,555720
20,366,district,gumla,total,1025213,514390,510823,173647,559720,465493,487508,264774,222734,537705
20,366,district,gumla,rural,960132,481135,478997,165197,510005,450127,469668,250720,218948,490464
20,366,district,gumla,urban,65081,33255,31826,8450,49715,15366,17840,14054,3786,47241
23,458,district,guna,total,1241519,649362,592157,207177,653980,587539,514897,335454,179443,726622
23,458,district,guna,rural,928844,486127,442717,162565,447170,481674,415816,255198,160618,513028
23,458,district,guna,urban,312675,163235,149440,44612,206810,105865,99081,80256,18825,213594
28,548,district,guntur,total,4887813,2440521,2447292,495729,2960441,1927372,2381624,1442370,939254,2506189
28,548,district,guntur,rural,3235075,1621491,1613584,332761,1797934,1437141,1744176,976679,767497,1490899
28,548,district,guntur,urban,1652738,819030,833708,162968,1162507,490231,637448,465691,171757,1015290
3,35,district,gurdaspur,total,2298323,1212617,1085706,253579,1634719,663604,757138,637652,119486,1541185
3,35,district,gurdaspur,rural,1639004,855784,783220,188167,1116537,522467,527252,443449,83803,1111752
3,35,district,gurdaspur,urban,659319,356833,302486,65412,518182,141137,229886,194203,35683,429433
6,86,district,gurgaon,total,1514432,816690,697742,202602,1111116,403316,544716,432456,112260,969716
6,86,district,gurgaon,rural,472179,251462,220717,67473,324087,148092,158462,121734,36728,313717
6,86,district,gurgaon,urban,1042253,565228,477025,135129,787029,255224,386254,310722,75532,655999
23,421,district,gwalior,total,2032036,1090327,941709,261418,1357210,674826,685311,548820,136491,1346725
23,421,district,gwalior,rural,758244,409349,348895,114953,419361,338883,287151,210476,76675,471093
23,421,district,gwalior,urban,1273792,680978,592814,146465,937849,335943,398160,338344,59816,875632
18,318,district,hailakandi,total,659296,337890,321406,111278,407366,251930,214240,170792,43448,445056
18,318,district,hailakandi,rural,611156,313747,297409,106617,366962,244194,198293,158192,40101,412863
18,318,district,hailakandi,urban,48140,24143,23997,4661,40404,7736,15947,12600,3347,32193
2,28,district,hamirpur,total,454768,217070,237698,48548,358091,96677,241931,118724,123207,212837
2,28,district,hamirpur,rural,423338,200748,222590,45625,331719,91619,230983,110846,120137,192355
2,28,district,hamirpur,urban,31430,16322,15108,2923,26372,5058,10948,7878,3070,20482
9,168,district,hamirpur,total,1104285,593537,510748,154355,653299,450986,443655,308527,135128,660630
9,168,district,hamirpur,rural,894437,481373,413064,128232,511783,382654,376254,254864,121390,518183
9,168,district,hamirpur,urban,209848,112164,97684,26123,141516,68332,67401,53663,13738,142447
8,100,district,hanumangarh,total,1774692,931184,843508,234226,1034136,740556,835260,512802,322458,939432
8,100,district,hanumangarh,rural,1424228,746887,677341,190563,802659,621569,719352,416081,303271,704876
8,100,district,hanumangarh,urban,350464,184297,166167,43663,231477,118987,115908,96721,19187,234556
19,341,district,haora,total,4850029,2500819,2349210,522802,3605206,1244823,1819845,1498170,321675,3030184
19,341,district,haora,rural,1775885,909519,866366,205158,1256266,519619,670490,552233,118257,1105395
19,341,district,haora,urban,3074144,1591300,1482844,317644,2348940,725204,1149355,945937,203418,1924789
23,448,district,harda,total,570465,294838,275627,84191,352550,217915,230979,156852,74127,339486
23,448,district,harda,rural,451101,233312,217789,69504,261229,189872,193857,125772,68085,257244
23,448,district,harda,urban,119364,61526,57838,14687,91321,28043,37122,31080,6042,82242
9,155,district,hardoi,total,4092845,2191442,1901403,652496,2221601,1871244,1318946,1091952,226994,2773899
9,155,district,hardoi,rural,3551039,1906147,1644892,580096,1883588,1667451,1157094,953746,203348,2393945
9,155,district,hardoi,urban,541806,285295,256511,72400,338013,203793,161852,138206,23646,379954
5,68,district,hardwar,total,1890422,1005295,885127,285693,1178354,712068,578121,497810,80311,1312301
5,68,district,hardwar,rural,1197328,633784,563544,197796,682616,514712,359251,308299,50952,838077
5,68,district,hardwar,urban,693094,371511,321583,87897,495738,197356,218870,189511,29359,474224
6,0,state,haryana,total,25351462,13494734,11856728,3380721,16598988,8752474,8916508,6806636,2109872,16434954
6,0,state,haryana,rural,16509359,8774006,7735353,2285112,10158442,6350917,6003112,4392214,1610898,10506247
6,0,state,haryana,urban,8842103,4720728,4121375,1095609,6440546,2401557,2913396,2414422,498974,5928707
29,574,district,hassan,total,1776421,883667,892754,165637,1225256,551165,903580,560452,343128,872841
29,574,district,hassan,rural,1399658,695583,704075,128037,925571,474087,763534,451711,311823,636124
29,574,district,hassan,urban,376763,188084,188679,37600,299685,77078,140046,108741,31305,236717
29,564,district,haveri,total,1597668,819128,778540,195317,1085443,512225,730066,490731,239335,867602
29,564,district,haveri,rural,1242167,638450,603717,152010,825101,417066,599152,389871,209281,643015
29,564,district,haveri,urban,355501,180678,174823,43307,260342,95159,130914,100860,30054,224587
20,360,district,hazaribagh,total,1734495,890881,843614,281863,1013249,721246,654636,423472,231164,1079859
20,360,district,hazaribagh,rural,1459188,746934,712254,246642,808009,651179,578620,358174,220446,880568
20,360,district,hazaribagh,urban,275307,143947,131360,35221,205240,70067,76016,65298,10718,199291
2,0,state,himachalpradesh,total,6864602,3481873,3382729,777898,5039736,1824866,3559422,2043373,1516049,3305180
2,0,state,himachalpradesh,rural,6176050,3110345,3065705,712822,4471736,1704314,3289384,1836358,1453026,2886666
2,0,state,himachalpradesh,urban,688552,371528,317024,65076,568000,120552,270038,207015,63023,418514
27,512,district,hingoli,total,1177345,606294,571051,165716,790743,386602,569182,330903,238279,608163
27,512,district,hingoli,rural,998612,514430,484182,141780,658152,340460,512590,285540,227050,486022
27,512,district,hingoli,urban,178733,91864,86869,23936,132591,46142,56592,45363,11229,122141
6,80,district,hisar,total,1743931,931562,812369,215167,1114311,629620,691621,488321,203300,1052310
6,80,district,hisar,rural,1190443,634139,556304,150650,714796,475647,507084,336064,171020,683359
6,80,district,hisar,urban,553488,297423,256065,64517,399515,153973,184537,152257,32280,368951
23,449,district,hoshangabad,total,1241350,648725,592625,164602,810644,430706,478082,345435,132647,763268
23,449,district,hoshangabad,rural,851364,445062,406302,120738,510211,341153,352443,241932,110511,498921
23,449,district,hoshangabad,urban,389986,203663,186323,43864,300433,89553,125639,103503,22136,264347
3,38,district,hoshiarpur,total,1586625,809057,777568,168331,1199699,386926,499822,412506,87316,1086803
3,38,district,hoshiarpur,rural,1251656,634470,617186,134056,935835,315821,385166,319963,65203,866490
3,38,district,hoshiarpur,urban,334969,174587,160382,34275,263864,71105,114656,92543,22113,220313
19,338,district,hugli,total,5519145,2814653,2704492,533210,4078388,1440757,2152870,1713608,439262,3366275
19,338,district,hugli,rural,3390646,1722945,1667701,347916,2389544,1001102,1373031,1076527,296504,2017615
19,338,district,hugli,urban,2128499,1091708,1036791,185294,1688844,439655,779839,637081,142758,1348660
28,536,district,hyderabad,total,3943323,2018575,1924748,469126,2892155,1051168,1413297,1045585,367712,2530026
28,536,district,hyderabad,rural,0,0,0,0,0,0,0,0,0,0
28,536,district,hyderabad,urban,3943323,2018575,1924748,469126,2892155,1051168,1413297,1045585,367712,2530026
32,596,district,idukki,total,1108974,552808,556166,105641,923010,185964,516363,331710,184653,592611
32,596,district,idukki,rural,1056929,527245,529684,100459,878211,178718,498624,318263,180361,558305
32,596,district,idukki,urban,52045,25563,26482,5182,44799,7246,17739,13447,4292,34306
14,278,district,imphaleast,total,456113,226094,230019,59936,324664,131449,194848,117562,77286,261265
14,278,district,imphaleast,rural,272906,136789,136117,38324,183881,89025,120193,72447,47746,152713
14,278,district,imphaleast,urban,183207,89305,93902,21612,140783,42424,74655,45115,29540,108552
14,277,district,imphalwest,total,517992,255054,262938,61875,392626,125366,213387,128540,84847,304605
14,277,district,imphalwest,rural,195113,96948,98165,25459,139391,55722,84176,50493,33683,110937
14,277,district,imphalwest,urban,322879,158106,164773,36416,253235,69644,129211,78047,51164,193668
0,0,india,india,total,1210854977,623270258,587584719,164515253,763638812,447216165,481888868,331939875,149948993,728966109
0,0,india,india,rural,833748852,427781058,405967794,121322865,482793835,350955017,348743092,226837013,121906079,485005760
0,0,india,india,urban,377106125,195489200,181616925,43192388,280844977,96261148,133145776,105102862,28042914,243960349
23,439,district,indore,total,3276697,1699627,1577070,421380,2309130,967567,1268195,939055,329140,2008502
23,439,district,indore,rural,848988,436755,412233,124904,499137,349851,386782,244360,142422,462206
23,439,district,indore,urban,2427709,1262872,1164837,296476,1809993,617716,881413,694695,186718,1546296
23,451,district,jabalpur,total,2463289,1277278,1186011,296565,1756468,706821,1005624,705970,299654,1457665
23,451,district,jabalpur,rural,1023255,527031,496224,141756,637824,385431,478125,300951,177174,545130
23,451,district,jabalpur,urban,1440034,750247,689787,154809,1118644,321390,527499,405019,122480,912535
21,380,district,jagatsinghapur,total,1136971,577865,559106,110249,889027,247944,403649,325589,78060,733322
21,380,district,jagatsinghapur,rural,1020991,516813,504178,98291,798202,222789,364377,291902,72475,656614
21,380,district,jagatsinghapur,urban,115980,61052,54928,11958,90825,25155,39272,33687,5585,76708
