state,district,level,name,type,total_population,total_population_males,total_population_females,population_06,population_literate,population_illiterate,total_workers,total_workers_males,total_workers_females,non_workers
28,553,district,anantapur,rural,2935437,1489157,1446280,323884,1546394,1389043,1595941,888467,707474,1339496
28,553,district,anantapur,urban,1145711,575338,570373,122072,764566,381145,440225,320077,120148,705486
1,14,district,anantnag,total,1078692,559767,518925,208538,545532,533160,389684,244032,145652,689008
1,14,district,anantnag,rural,795805,411012,384793,161396,375859,419946,295948,175987,119961,499857
1,14,district,anantnag,urban,282887,148755,134132,47142,169673,113214,93736,68045,25691,189151
35,0,state,andamanandnicobarislands,total,380581,202871,177710,40878,294281,86300,152535,120889,31646,228046
35,0,state,andamanandnicobarislands,rural,237093,126287,110806,26415,178025,59068,94469,74670,19799,142624
35,0,state,andamanandnicobarislands,urban,143488,76584,66904,14463,116256,27232,58066,46219,11847,85422
28,0,state,andhrapradesh,total,49338786,24757918,24580868,5333301,29491443,19847343,22996695,14108263,8888431,26342091
28,0,state,andhrapradesh,rural,56361702,28243241,28118461,6152022,30351065,26010637,29052307,16498189,12554118,27309395
28,0,state,andhrapradesh,urban,28219075,14198905,14020170,2990780,20205695,8013380,10370599,7687406,2683193,17848476
12,260,district,anjaw,total,21167,11507,9660,3472,9990,11177,10501,6224,4277,10666
12,260,district,anjaw,rural,20185,10882,9303,3389,9268,10917,10031,5812,4219,10154
12,260,district,anjaw,urban,982,625,357,83,722,260,470,412,58,512
21,384,district,anugul,total,1273821,655718,618103,152403,869456,404365,526520,360947,165573,747301
21,384,district,anugul,rural,1067275,546385,520890,130583,709069,358206,455627,301993,153634,611648
21,384,district,anugul,urban,206546,109333,97213,21820,160387,46159,70893,58954,11939,135653
23,461,district,anuppur,total,749237,379114,370123,106071,436595,312642,346471,207401,139070,402766
23,461,district,anuppur,rural,543996,272030,271966,82311,290893,253103,284804,156443,128361,259192
23,461,district,anuppur,urban,205241,107084,98157,23760,145702,59539,61667,50958,10709,143574
10,209,district,araria,total,2811569,1463333,1348236,577886,1195768,1615801,1069893,708391,361502,1741676
10,209,district,araria,rural,2642792,1374254,1268538,549701,1094403,1548389,1018210,666953,351257,1624582
10,209,district,araria,urban,168777,89079,79698,28185,101365,67412,51683,41438,10245,117094
33,616,district,ariyalur,total,754894,374703,380191,81187,480604,274290,359851,212547,147304,395043
33,616,district,ariyalur,rural,671100,333253,337847,72575,419413,251687,328972,190203,138769,342128
33,616,district,ariyalur,urban,83794,41450,42344,8612,61191,22603,30879,22344,8535,52915
12,0,state,arunachalpradesh,total,1383727,713912,669815,212188,766005,617722,587657,350273,237384,796070
12,0,state,arunachalpradesh,rural,1066358,546011,520347,172289,535902,530456,470315,264790,205525,596043
12,0,state,arunachalpradesh,urban,317369,167901,149468,39899,230103,87266,117342,85483,31859,200027
10,240,district,arwal,total,700843,363497,337346,127841,386351,314492,236354,167991,68363,464489
10,240,district,arwal,rural,648994,336420,312574,118647,354235,294759,222026,156296,65730,426968
10,240,district,arwal,urban,51849,27077,24772,9194,32116,19733,14328,11695,2633,37521
23,459,district,ashoknagar,total,845071,443837,401234,138787,469109,375962,315270,231829,83441,529801
23,459,district,ashoknagar,rural,691387,363411,327976,116890,366314,325073,265421,191602,73819,425966
23,459,district,ashoknagar,urban,153684,80426,73258,21897,102795,50889,49849,40227,9622,103835
18,0,state,assam,total,31205576,15939443,15266133,4638130,19177977,12027599,11969690,8541560,3428130,19235886
18,0,state,assam,rural,26807034,13678989,13128045,4187323,15685436,11121598,10368283,7257852,3110431,16438751
18,0,state,assam,urban,4398542,2260454,2138088,450807,3492541,906001,1601407,1283708,317699,2797135
9,162,district,auraiya,total,1379545,740040,639505,200517,930836,448709,442023,364543,77480,937522
9,162,district,auraiya,rural,1145323,616494,528829,170402,755923,389400,374577,306420,68157,770746
9,162,district,auraiya,urban,234222,123546,110676,30115,174913,59309,67446,58123,9323,166776
10,235,district,aurangabad,total,2540073,1318684,1221389,455394,1466002,1074071,837770,599157,238613,1702303
10,235,district,aurangabad,rural,2303219,1194619,1108600,418320,1308038,995181,772533,546328,226205,1530686
10,235,district,aurangabad,urban,236854,124065,112789,37074,157964,78890,65237,52829,12408,171617
27,515,district,aurangabad,total,3701282,1924469,1776813,532659,2503837,1197445,1575079,1015864,559215,2126203
27,515,district,aurangabad,rural,2081112,1081825,999287,306364,1293330,787782,1044684,593644,451040,1036428
27,515,district,aurangabad,urban,1620170,842644,777526,226295,1210507,409663,530395,422220,108175,1089775
9,191,district,azamgarh,total,4613913,2285004,2328909,706085,2771917,1841996,1372032,941890,430142,3241881
9,191,district,azamgarh,rural,4220512,2082707,2137805,649973,2511143,1709369,1253698,854072,399626,2966814
9,191,district,azamgarh,urban,393401,202297,191104,56112,260774,132627,118334,87818,30516,275067
1,2,district,badgam,total,753745,398041,355704,155202,335649,418096,214866,162578,52288,538879
1,2,district,badgam,rural,655833,343385,312448,140608,278265,377568,181768,134569,47199,474065
1,2,district,badgam,urban,97912,54656,43256,14594,57384,40528,33098,28009,5089,64814
29,556,district,bagalkot,total,1889752,950111,939641,271908,1113412,776340,818081,511575,306506,1071671
29,556,district,bagalkot,rural,1291906,650267,641639,193893,704912,586994,595392,351296,244096,696514
29,556,district,bagalkot,urban,597846,299844,298002,78015,408500,189346,222689,160279,62410,375157
5,63,district,bageshwar,total,259898,124326,135572,35560,179483,80415,123638,58708,64930,136260
5,63,district,bageshwar,rural,250819,119615,131204,34545,172166,78653,120867,56472,64395,129952
5,63,district,bageshwar,urban,9079,4711,4368,1015,7317,1762,2771,2236,535,6308
9,139,district,baghpat,total,1303048,700070,602978,194979,797970,505078,416695,342604,74091,886353
9,139,district,baghpat,rural,1028023,553807,474216,154270,626257,401766,337563,272925,64638,690460
9,139,district,baghpat,urban,275025,146263,128762,40709,171713,103312,79132,69679,9453,195893
9,180,district,bahraich,total,3487731,1843884,1643847,654794,1398368,2089363,1152160,895576,256584,2335571
9,180,district,bahraich,rural,3203687,1695122,1508565,614992,1230278,1973409,1068589,825477,243112,2135098
9,180,district,bahraich,urban,284044,148762,135282,39802,168090,115954,83571,70099,13472,200473
18,324,district,baksa,total,950075,481330,468745,122872,572837,377238,406756,266611,140145,543319
18,324,district,baksa,rural,937833,475027,462806,121332,564860,372973,402261,262995,139266,535572
18,324,district,baksa,urban,12242,6303,5939,1540,7977,4265,4495,3616,879,7747
23,457,district,balaghat,total,1701698,842178,859520,212931,1147623,554075,893014,488610,404404,808684
23,457,district,balaghat,rural,1456882,719794,737088,186683,960218,496664,802288,423889,378399,654594
23,457,district,balaghat,urban,244816,122384,122432,26248,187405,57411,90726,64721,26005,154090
21,393,district,balangir,total,1648997,830097,818900,216320,927260,721737,720601,469956,250645,928396
21,393,district,balangir,rural,1451616,728770,722846,194634,780657,670959,653289,415663,237626,798327
21,393,district,balangir,urban,197381,101327,96054,21686,146603,50778,67312,54293,13019,130069
21,377,district,baleshwar,total,2320529,1185787,1134742,288672,1621232,699297,932707,684020,248687,1387822
21,377,district,baleshwar,rural,2067236,1056466,1010770,260819,1430341,636895,847171,612298,234873,1220065
21,377,district,baleshwar,urban,253293,129321,123972,27853,190891,62402,85536,71722,13814,167757
9,193,district,ballia,total,3239774,1672902,1566872,471852,1963590,1276184,1019483,723060,296423,2220291
9,193,district,ballia,rural,2935665,1514018,1421647,431944,1758635,1177030,928458,651753,276705,2007207
9,193,district,ballia,urban,304109,158884,145225,39908,204955,99154,91025,71307,19718,213084
9,182,district,balrampur,total,2148665,1114721,1033944,394710,868357,1280308,760253,534332,225921,1388412
9,182,district,balrampur,rural,1982274,1027943,954331,371228,773010,1209264,713064,493943,219121,1269210
9,182,district,balrampur,urban,166391,86778,79613,23482,95347,71044,47189,40389,6800,119202
24,469,district,banaskantha,total,3120506,1610379,1510127,510310,1704923,1415583,1248600,836268,412332,1871906
24,469,district,banaskantha,rural,2705591,1393741,1311850,455406,1415564,1290027,1119536,724574,394962,1586055
24,469,district,banaskantha,urban,414915,216638,198277,54904,289359,125556,129064,111694,17370,285851
9,170,district,banda,total,1799410,965876,833534,294972,1002937,796473,701689,485314,216375,1097721
9,170,district,banda,rural,1523655,819243,704412,259407,811134,712521,615905,414809,201096,907750
9,170,district,banda,urban,275755,146633,129122,35565,191803,83952,85784,70505,15279,189971
1,9,district,bandipore,total,392232,207680,184552,61754,185979,206253,149317,101380,47937,242915
1,9,district,bandipore,rural,326871,172263,154608,54137,148187,178684,124497,83376,41121,202374
1,9,district,bandipore,urban,65361,35417,29944,7617,37792,27569,24820,18004,6816,40541
29,572,district,bangalore,total,9621551,5022661,4598890,1052837,7512276,2109275,4246927,3115361,1131566,5374624
29,572,district,bangalore,rural,871607,464256,407351,100793,602859,268748,411407,297260,114147,460200
29,572,district,bangalore,urban,8749944,4558405,4191539,952044,6909417,1840527,3835520,2818101,1017419,4914424
29,583,district,bangalorerural,total,990923,509172,481751,107062,688749,302174,459891,315499,144392,531032
29,583,district,bangalorerural,rural,722179,371369,350810,77405,484632,237547,350621,232568,118053,371558
29,583,district,bangalorerural,urban,268744,137803,130941,29657,204117,64627,109270,82931,26339,159474
10,225,district,banka,total,2034763,1067140,967623,375282,965321,1069442,771080,517817,253263,1263683
10,225,district,banka,rural,1963450,1029097,934353,363741,921921,1041529,751415,500690,250725,1212035
10,225,district,banka,urban,71313,38043,33270,11541,43400,27913,19665,17127,2538,51648
19,339,district,bankura,total,3596674,1838095,1758579,418650,2232992,1363682,1466220,1050822,415398,2130454
19,339,district,bankura,rural,3296901,1685777,1611124,391728,2002652,1294249,1356914,965526,391388,1939987
19,339,district,bankura,urban,299773,152318,147455,26922,230340,69433,109306,85296,24010,190467
8,125,district,banswara,total,1797485,907754,889731,325283,829343,968142,916574,482236,434338,880911
8,125,district,banswara,rural,1669864,842767,827097,309653,733930,935934,872180,448510,423670,797684
8,125,district,banswara,urban,127621,64987,62634,15630,95413,32208,44394,33726,10668,83227
9,176,district,barabanki,total,3260699,1707073,1553626,519867,1692458,1568241,1192850,871241,321609,2067849
9,176,district,barabanki,rural,2929896,1533455,1396441,475080,1493624,1436272,1088855,786669,302186,1841041
9,176,district,barabanki,urban,330803,173618,157185,44787,198834,131969,103995,84572,19423,226808
1,8,district,baramula,total,1008039,534733,473306,164581,545149,462890,304200,249581,54619,703839
1,8,district,baramula,rural,825539,432399,393140,142524,423193,402346,238033,191793,46240,587506
1,8,district,baramula,urban,182500,102334,80166,22057,121956,60544,66167,57788,8379,116333
8,128,district,baran,total,1222755,633945,588810,182665,693307,529448,552583,329754,222829,670172
8,128,district,baran,rural,968541,502228,466313,148894,521423,447118,468074,264147,203927,500467
8,128,district,baran,urban,254214,131717,122497,33771,171884,82330,84509,65607,18902,169705
19,335,district,barddhaman,total,7717563,3966889,3750674,832033,5247208,2470355,2911251,2293083,618168,4806312
19,335,district,barddhaman,rural,4639264,2373787,2265477,511969,2998277,1640987,1869195,1437518,431677,2770069
19,335,district,barddhaman,urban,3078299,1593102,1485197,320064,2248931,829368,1042056,855565,186491,2036243
9,150,district,bareilly,total,4448359,2357665,2090694,701416,2191759,2256600,1401971,1153006,248965,3046388
9,150,district,bareilly,rural,2879950,1530356,1349594,495582,1332606,1547344,894353,738370,155983,1985597
9,150,district,bareilly,urban,1568409,827309,741100,205834,859153,709256,507618,414636,92982,1060791
21,370,district,bargarh,total,1481255,749161,732094,162922,983783,497472,762092,473305,288787,719163
21,370,district,bargarh,rural,1331145,672603,658542,146333,869172,461973,706885,429942,276943,624260
21,370,district,bargarh,urban,150110,76558,73552,16589,114611,35499,55207,43363,11844,94903
8,115,district,barmer,total,2603751,1369022,1234729,501522,1188322,1415429,1202482,696240,506242,1401269
8,115,district,barmer,rural,2421914,1273249,1148665,475218,1066665,1355249,1147364,647038,500326,1274550
8,115,district,barmer,urban,181837,95773,86064,26304,121657,60180,55118,49202,5916,126719
3,54,district,barnala,total,595527,317522,278005,64987,359831,235696,209331,178163,31168,386196
3,54,district,barnala,rural,404842,215210,189632,42761,234406,170436,142644,121090,21554,262198
3,54,district,barnala,urban,190685,102312,88373,22226,125425,65260,66687,57073,9614,123998
18,303,district,barpeta,total,1693622,867004,826618,287829,897058,796564,561824,445297,116527,1131798
18,303,district,barpeta,rural,1546269,791789,754480,273296,782462,763807,510562,402195,108367,1035707
18,303,district,barpeta,urban,147353,75215,72138,14533,114596,32757,51262,43102,8160,96091
23,441,district,barwani,total,1385881,699340,686541,265299,549926,835955,653897,365928,287969,731984
23,441,district,barwani,rural,1181812,594907,586905,237316,413152,768660,581786,311527,270259,600026
23,441,district,barwani,urban,204069,104433,99636,27983,136774,67295,72111,54401,17710,131958
22,414,district,bastar,total,1413199,698487,714712,216713,650863,762336,726531,404364,322167,686668
22,414,district,bastar,rural,1219705,600652,619053,194321,511057,708648,651790,350639,301151,567915
22,414,district,bastar,urban,193494,97835,95659,22392,139806,53688,74741,53725,21016,118753
9,185,district,basti,total,2464464,1255272,1209192,390969,1393783,1070681,783688,558642,225046,1680776
9,185,district,basti,rural,2326367,1182846,1143521,374686,1293319,1033048,746664,527279,219385,1579703
9,185,district,basti,urban,138097,72426,65671,16283,100464,37633,37024,31363,5661,101073
3,46,district,bathinda,total,1388525,743197,645328,151145,844868,543657,549986,432988,116998,838539
3,46,district,bathinda,rural,889308,474484,414824,94372,493192,396116,369392,282661,86731,519916
3,46,district,bathinda,urban,499217,268713,230504,56773,351676,147541,180594,150327,30267,318623
21,391,district,baudh,total,441162,221625,219537,61847,271612,169550,219457,125627,93830,221705
21,391,district,baudh,rural,420738,211133,209605,59737,255716,165022,212323,120191,92132,208415
21,391,district,baudh,urban,20424,10492,9932,2110,15896,4528,7134,5436,1698,13290
10,222,district,begusarai,total,2970541,1567660,1402881,545965,1548673,1421868,938182,715345,222837,2032359
10,222,district,begusarai,rural,2400718,1266308,1134410,449629,1205992,1194726,776808,582081,194727,1623910
10,222,district,begusarai,urban,569823,301352,268471,96336,342681,227142,161374,133264,28110,408449
29,555,district,belgaum,total,4779661,2423063,2356598,626269,3052032,1727629,2105668,1372422,733246,2673993
29,555,district,belgaum,rural,3568466,1811094,1757372,487103,2134792,1433674,1675994,1036706,639288,1892472
29,555,district,belgaum,urban,1211195,611969,599226,139166,917240,293955,429674,335716,93958,781521
29,565,district,bellary,total,2452595,1236954,1215641,344152,1421621,1030974,1116880,703258,413622,1335715
29,565,district,bellary,rural,1532356,774093,758263,222971,809312,723044,775319,444370,330949,757037
29,565,district,bellary,urban,920239,462861,457378,121181,612309,307930,341561,258888,82673,578678
23,447,district,betul,total,1575362,799236,776126,211433,939769,635593,786980,453887,333093,788382
23,447,district,betul,rural,1266211,640358,625853,178470,700098,566113,682986,371172,311814,583225
23,447,district,betul,urban,309151,158878,150273,32963,239671,69480,103994,82715,21279,205157
21,378,district,bhadrak,total,1506337,760260,746077,184560,1094140,412197,468599,409559,59040,1037738
21,378,district,bhadrak,rural,1320499,665255,655244,161574,964713,355786,411154,359888,51266,909345
21,378,district,bhadrak,urban,185838,95005,90833,22986,129427,56411,57445,49671,7774,128393
10,224,district,bhagalpur,total,3037766,1615663,1422103,546382,1573066,1464700,983528,740056,243472,2054238
10,224,district,bhagalpur,rural,2435234,1295386,1139848,457010,1183706,1251528,805833,593610,212223,1629401
10,224,district,bhagalpur,urban,602532,320277,282255,89372,389360,213172,177695,146446,31249,424837
27,506,district,bhandara,total,1200334,605520,594814,126025,899860,300474,597305,345054,252251,603029
27,506,district,bhandara,rural,966503,487484,479019,103261,708328,258175,516087,286323,229764,450416
27,506,district,bhandara,urban,233831,118036,115795,22764,191532,42299,81218,58731,22487,152613
8,105,district,bharatpur,total,2548462,1355726,1192736,436165,1480869,1067593,1071154,647198,423956,1477308
8,105,district,bharatpur,rural,2053363,1093357,960006,368292,1143404,909959,920985,524633,396352,1132378
8,105,district,bharatpur,urban,495099,262369,232730,67873,337465,157634,150169,122565,27604,344930
24,488,district,bharuch,total,1551019,805707,745312,179103,1118276,432743,627124,468919,158205,923895
